tid,table_name,column_name,sample_values
65,dataset_2-Shanghai.csv,No,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
66,dataset_2-Shanghai.csv,year,2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010
67,dataset_2-Shanghai.csv,month,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
68,dataset_2-Shanghai.csv,day,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
69,dataset_2-Shanghai.csv,hour,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
70,dataset_2-Shanghai.csv,season,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
71,dataset_2-Shanghai.csv,PM_Jingan,66.0 67.0 73.0 75.0 73.0 74.0 73.0 77.0 73.0 82.0 78.0 52.0 54.0 52.0 49.0 56.0 71.0 88.0 110.0 101.0
72,dataset_2-Shanghai.csv,PM_US Post,36.0 41.0 44.0 40.0 25.0 28.0 34.0 25.0 27.0 35.0 33.0 34.0 36.0 40.0 41.0 40.0 40.0 38.0 30.0 42.0
73,dataset_2-Shanghai.csv,PM_Xuhui,71.0 72.0 74.0 77.0 80.0 77.0 84.0 87.0 91.0 88.0 72.0 49.0 52.0 51.0 58.0 73.0 82.0 106.0 126.0 125.0
74,dataset_2-Shanghai.csv,DEWP,-6.0 -6.0 -7.0 -6.0 -6.0 -7.0 -6.0 -5.0 -3.0 -2.0 -1.0 0.0 -1.0 0.0 -1.0 -1.0 -2.0 -1.0 0.0 1.0
75,dataset_2-Shanghai.csv,HUMI,59.48 59.48 59.21 63.94 63.94 59.21 59.48 64.18 69.43 64.9 60.76 61.01 52.98 53.26 46.29 46.29 46.0 49.51 56.99 61.26
76,dataset_2-Shanghai.csv,PRES,1026.1 1025.1 1025.1 1024.0 1023.0 1023.0 1023.0 1023.0 1023.0 1023.0 1022.0 1022.0 1020.0 1019.0 1019.0 1018.0 1018.0 1018.0 1019.0 1018.0
77,dataset_2-Shanghai.csv,TEMP,1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 2.0 4.0 6.0 7.0 8.0 9.0 10.0 10.0 9.0 9.0 8.0 8.0
78,dataset_2-Shanghai.csv,cbwd,cv SE SE SE SE SE SE SE SE SE SE SW SW SW SW SE SE SE SE SE
79,dataset_2-Shanghai.csv,Iws,1.0 2.0 4.0 5.0 8.0 11.0 14.0 17.0 20.0 23.0 28.0 6.0 10.0 14.0 18.0 3.0 7.0 11.0 14.0 16.0
80,dataset_2-Shanghai.csv,precipitation,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
81,dataset_2-Shanghai.csv,Iprec,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
